No,Event ID,Date time,Latitude,Longitude,Magnitude,Mag Type,Depth (km),Phase Count,Azimuth Gap,Location,Agency
38,bmg2019brps,2019-01-24T20:47:22.071158Z,-0.03565305471,123.3907852,2.854811052,MLv,98,14,162.6141243,"Minahassa Peninsula, Sulawesi",BMKG
39,bmg2019brjd,2019-01-24T17:27:38.01909Z,-0.3134422302,119.7358551,3.937126826,MLv,11,24,80.23834229,"Minahassa Peninsula, Sulawesi",BMKG
40,bmg2019bqkm,2019-01-24T04:59:51.904768Z,-1.271525979,120.4091721,3.668293132,MLv,10,12,103.9229584,"Sulawesi, Indonesia",BMKG
41,bmg2019bqix,2019-01-24T04:12:43.638524Z,-0.0887966305,123.0505066,2.869843806,MLv,10,7,229.0352783,"Minahassa Peninsula, Sulawesi",BMKG
42,bmg2019bpsl,2019-01-23T19:54:00.425318Z,0.4320601821,122.2937241,3.666355935,MLv,147,21,53.68919373,"Minahassa Peninsula, Sulawesi",BMKG
43,bmg2019bppa,2019-01-23T18:10:23.278356Z,-0.07026889175,124.9990616,4.048886766,M,10,8,118.9911041,Southern Molucca Sea,BMKG
44,bmg2019bozr,2019-01-23T10:24:04.463291Z,-2.893047571,119.5054703,2.772588853,MLv,10,10,145.2119694,"Sulawesi, Indonesia",BMKG
45,bmg2019booc,2019-01-23T04:33:19.295699Z,-1.050420761,121.4158325,2.796918941,MLv,10,7,110.4207382,"Sulawesi, Indonesia",BMKG
46,bmg2019bobo,2019-01-22T22:13:28.863461Z,-1.415126681,120.113678,3.289096339,MLv,10,12,117.2814331,"Sulawesi, Indonesia",BMKG
47,bmg2019bnsp,2019-01-22T17:41:57.734244Z,-0.2257015556,122.8797455,2.886186164,MLv,17,10,133.436779,"Minahassa Peninsula, Sulawesi",BMKG
48,bmg2019bnog,2019-01-22T15:30:19.804458Z,0.1321742684,122.3456192,2.980367122,MLv,96,11,87.7328186,"Minahassa Peninsula, Sulawesi",BMKG
49,bmg2019bnod,2019-01-22T15:26:39.38137Z,-1.46773386,119.9632492,3.558265512,MLv,10,14,70.5836792,"Sulawesi, Indonesia",BMKG
50,bmg2019bnbk,2019-01-22T09:01:14.314915Z,-5.779616356,120.631279,2.470676327,MLv,10,8,249.3277435,"Sulawesi, Indonesia",BMKG
51,bmg2019bmon,2019-01-22T02:30:02.28478Z,-1.468194842,120.19487,2.776957855,MLv,10,9,115.0235443,"Sulawesi, Indonesia",BMKG
52,bmg2019bmnp,2019-01-22T02:02:34.117374Z,-1.406905413,120.0639572,3.330575503,MLv,10,9,146.920105,"Sulawesi, Indonesia",BMKG
53,bmg2019bmei,2019-01-21T21:21:09.09854Z,-3.852546453,120.0503159,2.26416525,MLv,11,8,144.9646645,"Sulawesi, Indonesia",BMKG
54,bmg2019blwc,2019-01-21T17:12:09.249438Z,-3.865494251,120.043335,2.601703419,MLv,10,10,123.2082214,"Sulawesi, Indonesia",BMKG
55,bmg2019bltw,2019-01-21T16:04:24.850346Z,-0.7079016566,119.848053,3.320748558,MLv,10,13,148.4622955,"Minahassa Peninsula, Sulawesi",BMKG
56,bmg2019blpp,2019-01-21T13:54:12.170371Z,-3.872912884,122.6492157,4.246175416,MLv,10,33,51.82039642,"Sulawesi, Indonesia",BMKG
57,bmg2019bljj,2019-01-21T10:45:56.703744Z,-0.206022501,123.3146286,4.756416106,MLv,100,40,74.20983887,"Minahassa Peninsula, Sulawesi",BMKG
58,bmg2019bkdh,2019-01-20T18:33:32.707691Z,0.5765590668,125.6581497,3.536017566,MLv,18,19,81.69395447,Northern Molucca Sea,BMKG
59,bmg2019bjws,2019-01-20T15:14:21.550499Z,-2.843967676,119.4915161,2.577777672,MLv,10,7,260.0179596,"Sulawesi, Indonesia",BMKG
60,bmg2019bjvv,2019-01-20T14:47:35.754925Z,-3.808276653,120.0538101,2.374421689,MLv,10,9,194.5870514,"Sulawesi, Indonesia",BMKG
61,bmg2019bjvu,2019-01-20T14:45:36.024304Z,-3.864375353,120.0416565,2.638371273,MLv,10,10,192.1032257,"Sulawesi, Indonesia",BMKG
62,bmg2019bjuf,2019-01-20T13:58:00.257999Z,-3.823441505,120.0871811,3.00639507,MLv,10,12,138.5062389,"Sulawesi, Indonesia",BMKG
63,bmg2019bjuc,2019-01-20T13:54:43.981243Z,-0.6040221453,121.6850204,2.385206267,MLv,13,8,129.2259369,"Minahassa Peninsula, Sulawesi",BMKG
64,bmg2019bjrw,2019-01-20T12:46:43.208006Z,1.331624985,120.9827576,3.883218686,MLv,10,9,241.2861786,"Minahassa Peninsula, Sulawesi",BMKG
65,bmg2019bjru,2019-01-20T12:44:52.128948Z,-3.843756676,120.1185684,3.257237678,MLv,10,15,68.71900177,"Sulawesi, Indonesia",BMKG
66,bmg2019bjnp,2019-01-20T10:37:41.772719Z,-2.93163991,119.542717,3.373468161,MLv,10,9,140.3738461,"Sulawesi, Indonesia",BMKG
67,bmg2019bjie,2019-01-20T07:53:02.334492Z,0.6501402259,120.1499786,4.111845841,MLv,10,7,318.5797653,"Minahassa Peninsula, Sulawesi",BMKG
68,bmg2019bizi,2019-01-20T03:25:32.749472Z,1.018827558,122.0592499,3.504397488,MLv,12,7,181.497879,"Minahassa Peninsula, Sulawesi",BMKG
69,bmg2019bhje,2019-01-19T06:07:01.520798Z,-0.05925803632,123.6174393,4.252490249,MLv,130,14,80.19937515,"Minahassa Peninsula, Sulawesi",BMKG
70,bmg2019bhgo,2019-01-19T04:48:04.866211Z,-2.921803951,119.5157928,2.909742578,MLv,10,10,142.9071255,"Sulawesi, Indonesia",BMKG
71,bmg2019bgzs,2019-01-19T01:20:22.149099Z,-0.6422456503,119.7765121,3.178067848,MLv,10,10,193.1347485,"Minahassa Peninsula, Sulawesi",BMKG
72,bmg2019bgvb,2019-01-18T22:59:49.070547Z,-0.8193348646,122.4001465,2.462415992,MLv,12,5,121.8562775,"Minahassa Peninsula, Sulawesi",BMKG
73,bmg2019bghf,2019-01-18T16:00:04.757026Z,-4.229421139,122.1758499,2.959034382,MLv,10,7,142.3712883,"Sulawesi, Indonesia",BMKG
74,bmg2019bfol,2019-01-18T06:30:56.515507Z,-3.809445858,119.5647583,2.796575314,MLv,10,10,111.4054108,"Sulawesi, Indonesia",BMKG
75,bmg2019besz,2019-01-17T19:39:44.130177Z,-0.32793957,122.8980865,3.419371954,MLv,67,17,69.96836853,"Minahassa Peninsula, Sulawesi",BMKG
76,bmg2019beiz,2019-01-17T14:37:07.94957Z,-0.2671207488,120.1845016,4.150796651,MLv,10,22,107.0749321,"Minahassa Peninsula, Sulawesi",BMKG
77,bmg2019bdso,2019-01-17T06:19:07.724681Z,-1.278534293,120.4807205,3.387085379,MLv,11,16,84.61778259,"Sulawesi, Indonesia",BMKG
78,bmg2019bdbp,2019-01-16T21:45:14.168474Z,0.2793132365,121.6748276,4.25720497,MLv,176,24,91.64309311,"Minahassa Peninsula, Sulawesi",BMKG
79,bmg2019bces,2019-01-16T10:11:28.099247Z,0.4732059836,121.0703201,4.119008605,MLv,68,14,82.28742218,"Minahassa Peninsula, Sulawesi",BMKG
80,bmg2019bcbe,2019-01-16T08:24:13.614501Z,-2.935571194,121.0836411,3.71844513,MLv,10,16,81.63707352,"Sulawesi, Indonesia",BMKG
81,bmg2019bbvu,2019-01-16T05:41:11.285845Z,0.3345499039,125.4352341,4.126150375,MLv,10,18,70.12495804,Northern Molucca Sea,BMKG
82,bmg2019bani,2019-01-15T12:16:18.998638Z,-1.117666602,120.4752045,3.653123771,MLv,10,10,110.7545929,"Sulawesi, Indonesia",BMKG
83,bmg2019bamo,2019-01-15T11:53:02.230537Z,-1.534968019,119.6135178,3.030743014,MLv,15,7,179.9772816,"Sulawesi, Indonesia",BMKG
84,bmg2019baii,2019-01-15T09:44:55.834108Z,-0.6250401139,119.9145432,3.186708618,MLv,10,10,191.0601139,"Minahassa Peninsula, Sulawesi",BMKG
85,bmg2019azia,2019-01-14T20:27:31.065015Z,-2.938926458,119.4266052,2.788211809,MLv,10,10,149.0185184,"Sulawesi, Indonesia",BMKG
86,bmg2019azfl,2019-01-14T19:08:49.1313Z,-1.591315269,120.0817184,3.449016365,MLv,10,14,128.6647949,"Sulawesi, Indonesia",BMKG
87,bmg2019azfh,2019-01-14T19:03:45.343467Z,-0.1150247455,124.7693863,3.832517092,MLv,62,21,89.37849426,Southern Molucca Sea,BMKG
88,bmg2019ayxz,2019-01-14T15:23:00.228887Z,-0.08866645396,123.892395,3.688568548,MLv,80,14,71.58194733,"Minahassa Peninsula, Sulawesi",BMKG
89,bmg2019ayrh,2019-01-14T11:59:27.221636Z,1.957357526,121.4397659,4.588389222,MLv,10,28,81.42143631,"Minahassa Peninsula, Sulawesi",BMKG
90,bmg2019ayqa,2019-01-14T11:21:25.848924Z,-2.844527483,121.0592651,3.903566457,MLv,10,19,81.67829895,"Sulawesi, Indonesia",BMKG
91,bmg2019ayiq,2019-01-14T07:37:57.963393Z,-0.751333952,119.8281326,2.956655843,MLv,10,12,124.188158,"Minahassa Peninsula, Sulawesi",BMKG
92,bmg2019aygb,2019-01-14T06:18:52.2363Z,-2.702921629,119.5603256,2.672832441,MLv,14,10,81.69560242,"Sulawesi, Indonesia",BMKG
93,bmg2019aydn,2019-01-14T05:02:49.332121Z,-2.870658636,119.5008545,3.10607315,MLv,10,13,80.92300415,"Sulawesi, Indonesia",BMKG
94,bmg2019axtj,2019-01-13T23:54:34.491238Z,0.4333170652,122.6099319,2.706287872,MLv,79,10,107.9539032,"Minahassa Peninsula, Sulawesi",BMKG
95,bmg2019axia,2019-01-13T18:10:18.348814Z,-0.3966554701,120.1180878,3.755141648,MLv,10,19,71.12509155,"Minahassa Peninsula, Sulawesi",BMKG
96,bmg2019awxs,2019-01-13T12:58:35.652339Z,-0.1290642321,123.0244751,3.341217415,MLv,10,12,90.94600677,"Minahassa Peninsula, Sulawesi",BMKG
97,bmg2019awjb,2019-01-13T05:33:29.988035Z,-1.844995499,121.5158768,3.400088839,MLv,10,12,94.73781204,"Sulawesi, Indonesia",BMKG
98,bmg2019avrg,2019-01-12T20:34:04.982383Z,-2.806419373,119.5234756,2.67994189,MLv,10,9,148.0527258,"Sulawesi, Indonesia",BMKG
99,bmg2019auwh,2019-01-12T09:59:21.097881Z,-0.1695950627,122.8267136,3.63444652,MLv,74,12,125.8065796,"Minahassa Peninsula, Sulawesi",BMKG
100,bmg2019auph,2019-01-12T06:26:15.45916Z,-1.567299843,120.0564957,3.022529612,MLv,10,8,152.330307,"Sulawesi, Indonesia",BMKG
101,bmg2019atff,2019-01-11T12:12:33.709369Z,-1.313272715,120.1105042,3.034773472,MLv,10,9,117.1640472,"Sulawesi, Indonesia",BMKG
102,bmg2019asrz,2019-01-11T05:31:36.873675Z,-1.184117436,123.5816727,3.981545571,MLv,10,16,85.35107422,"Sulawesi, Indonesia",BMKG
103,bmg2019asmq,2019-01-11T02:49:28.160111Z,0.2629463971,122.1194916,2.849030833,MLv,143,7,134.4505577,"Minahassa Peninsula, Sulawesi",BMKG
104,bmg2019aqwz,2019-01-10T05:47:18.731884Z,0.5876741409,122.3265076,2.989560081,MLv,75,9,84.86634874,"Minahassa Peninsula, Sulawesi",BMKG
105,bmg2019aqkh,2019-01-09T23:22:00.44537Z,-2.934082985,119.5066605,3.122748999,MLv,10,11,142.9308691,"Sulawesi, Indonesia",BMKG
106,bmg2019aqdm,2019-01-09T19:55:33.206893Z,-2.7870996,119.5330658,2.016796178,MLv,14,8,148.1966171,"Sulawesi, Indonesia",BMKG
107,bmg2019aqcb,2019-01-09T19:12:45.339805Z,-2.980148554,119.412468,2.849364439,MLv,10,15,147.7971725,"Sulawesi, Indonesia",BMKG
108,bmg2019apkh,2019-01-09T10:14:44.171829Z,-1.184172988,119.6654587,4.430902787,MLv,10,20,76.53449059,"Sulawesi, Indonesia",BMKG
109,bmg2019apkg,2019-01-09T10:13:13.605002Z,-1.157291412,119.688652,4.312472232,MLv,10,16,77.08363152,"Sulawesi, Indonesia",BMKG
110,bmg2019apju,2019-01-09T09:59:23.905709Z,1.575117826,122.3191147,4.289338107,MLv,26,16,116.1834869,"Minahassa Peninsula, Sulawesi",BMKG
111,bmg2019apev,2019-01-09T07:28:50.873652Z,-0.9948390722,119.8978958,3.921534762,MLv,10,15,123.8829193,"Minahassa Peninsula, Sulawesi",BMKG
112,bmg2019aovl,2019-01-09T02:43:53.890831Z,-0.1880796999,122.6161499,2.855316286,MLv,10,7,181.7156067,"Minahassa Peninsula, Sulawesi",BMKG
113,bmg2019aory,2019-01-09T00:57:43.188422Z,-0.3118093312,122.9409714,3.062483621,MLv,48,7,217.155838,"Minahassa Peninsula, Sulawesi",BMKG
114,bmg2019aoku,2019-01-08T21:20:48.221975Z,-2.887566566,119.4504929,2.604778409,MLv,10,11,149.8309078,"Sulawesi, Indonesia",BMKG
115,bmg2019aoex,2019-01-08T18:22:27.51013Z,-0.2697619796,122.9952087,4.244107848,MLv,44,36,65.62563324,"Minahassa Peninsula, Sulawesi",BMKG
116,bmg2019aoce,2019-01-08T16:59:45.658147Z,-0.382730186,124.1292648,3.379290849,MLv,19,17,79.79568291,Southern Molucca Sea,BMKG
117,bmg2019aobl,2019-01-08T16:37:49.143259Z,-0.4738161266,120.0855103,3.094545193,MLv,10,11,136.76297,"Minahassa Peninsula, Sulawesi",BMKG
118,bmg2019anry,2019-01-08T11:50:17.64519Z,-3.00996232,119.5277481,4.005643074,MLv,10,16,136.971797,"Sulawesi, Indonesia",BMKG
119,bmg2019anjo,2019-01-08T07:35:42.133167Z,-2.711229563,119.3623047,2.828784469,MLv,10,8,276.3772278,"Sulawesi, Indonesia",BMKG
120,bmg2019anjf,2019-01-08T07:24:44.600865Z,-0.5019649863,120.0511322,3.415833661,MLv,10,11,113.403265,"Minahassa Peninsula, Sulawesi",BMKG
121,bmg2019anei,2019-01-08T04:57:13.407696Z,-2.730109215,119.4620132,2.646857085,MLv,11,8,275.7806549,"Sulawesi, Indonesia",BMKG
122,bmg2019anby,2019-01-08T03:44:58.228527Z,-3.064594269,119.506485,3.271193572,MLv,13,7,177.4028091,"Sulawesi, Indonesia",BMKG
123,bmg2019amqu,2019-01-07T22:06:23.720056Z,-1.449848771,122.9913177,2.779648245,MLv,10,5,306.2237854,"Sulawesi, Indonesia",BMKG
124,bmg2019amqn,2019-01-07T21:58:09.879171Z,0.685097158,122.5702362,2.550107705,MLv,10,6,157.3879929,"Minahassa Peninsula, Sulawesi",BMKG
125,bmg2019amnn,2019-01-07T20:27:50.274053Z,-2.809931278,119.5253754,2.044055754,MLv,11,5,266.9525604,"Sulawesi, Indonesia",BMKG
126,bmg2019ammr,2019-01-07T20:01:30.705807Z,-0.1910901964,122.8049774,2.655736268,MLv,124,10,98.71566772,"Minahassa Peninsula, Sulawesi",BMKG
127,bmg2019ammd,2019-01-07T19:46:12.977911Z,0.6672517061,121.8119583,1.840035751,MLv,83,4,142.6636047,"Minahassa Peninsula, Sulawesi",BMKG
128,bmg2019amjh,2019-01-07T18:19:02.81293Z,-0.09539951384,122.9579544,3.608058496,MLv,108,19,79.72260284,"Minahassa Peninsula, Sulawesi",BMKG
129,bmg2019alyp,2019-01-07T12:55:53.79094Z,-2.994958401,119.4876709,2.396136154,MLv,18,9,77.26408386,"Sulawesi, Indonesia",BMKG
130,bmg2019almx,2019-01-07T07:00:19.725696Z,0.2194690853,121.7957458,2.549887375,MLv,184,10,78.36601448,"Minahassa Peninsula, Sulawesi",BMKG
131,bmg2019almm,2019-01-07T06:48:38.175873Z,-1.292877436,119.9680939,3.61144249,MLv,13,15,81.31723022,"Sulawesi, Indonesia",BMKG
132,bmg2019algh,2019-01-07T03:40:48.348854Z,0.2847240269,122.0188751,3.819063946,MLv,118,18,82.78906822,"Minahassa Peninsula, Sulawesi",BMKG
133,bmg2019aldl,2019-01-07T02:13:48.484014Z,0.4718326628,121.3468552,3.49141763,MLv,17,9,104.9081955,"Minahassa Peninsula, Sulawesi",BMKG
134,bmg2019alcm,2019-01-07T01:44:44.23796Z,-1.879885554,119.4670944,3.300859007,MLv,10,11,94.2501297,"Sulawesi, Indonesia",BMKG
135,bmg2019alci,2019-01-07T01:40:47.090272Z,-1.547396898,120.0298309,3.199929494,MLv,10,9,103.1116943,"Sulawesi, Indonesia",BMKG
136,bmg2019akyx,2019-01-06T23:56:58.57571Z,-2.827934265,119.5421295,2.868345614,MLv,10,12,119.1998253,"Sulawesi, Indonesia",BMKG
137,bmg2019aksn,2019-01-06T20:42:43.569729Z,-2.785228968,119.5992508,2.538845172,MLv,15,6,275.7817078,"Sulawesi, Indonesia",BMKG
138,bmg2019akru,2019-01-06T20:20:22.344335Z,-2.936076403,119.5186005,4.647083272,MLv,10,32,64.1960783,"Sulawesi, Indonesia",BMKG
139,bmg2019akog,2019-01-06T18:33:50.823524Z,-2.838561296,119.4838409,2.695400066,MLv,10,11,149.6128702,"Sulawesi, Indonesia",BMKG
140,bmg2019akid,2019-01-06T15:28:31.693667Z,-2.104395151,120.7833023,3.028420611,MLv,10,11,73.09750366,"Sulawesi, Indonesia",BMKG
141,bmg2019akcx,2019-01-06T12:50:03.154265Z,-2.771190166,119.5046082,2.808594754,MLv,10,8,271.8409424,"Sulawesi, Indonesia",BMKG
142,bmg2019ajrw,2019-01-06T07:14:39.776666Z,-2.387847662,121.0029678,3.176223569,MLv,10,13,84.10229492,"Sulawesi, Indonesia",BMKG
143,bmg2019ajeh,2019-01-06T00:23:28.562598Z,-0.730907321,123.1986923,3.537033364,MLv,11,7,216.2372742,"Minahassa Peninsula, Sulawesi",BMKG
144,bmg2019ajdb,2019-01-05T23:45:41.905301Z,-0.4836214185,119.8481598,3.950704081,MLv,10,14,132.4152031,"Minahassa Peninsula, Sulawesi",BMKG
145,bmg2019aite,2019-01-05T18:46:18.470585Z,-2.149093628,120.8213501,3.186358615,MLv,11,12,86.66917419,"Sulawesi, Indonesia",BMKG
146,bmg2019aisw,2019-01-05T18:37:28.64923Z,0.5437141657,122.2880478,4.213252046,MLv,89,26,79.40164089,"Minahassa Peninsula, Sulawesi",BMKG
147,bmg2019ahww,2019-01-05T07:29:50.683726Z,-2.834378242,119.5332336,3.313645666,MLv,22,6,263.2772675,"Sulawesi, Indonesia",BMKG
148,bmg2019ahtp,2019-01-05T05:51:17.3244Z,0.2558399141,124.0534439,3.269935658,MLv,199,8,152.8852844,"Minahassa Peninsula, Sulawesi",BMKG
